datetime,season,workingday,weather,temp,humidity,windspeed,count,company_id
'2011-01-04 15:00:00','1','1',Nice,11.48,52,169.979,65,356
'2011-01-04 16:00:00','1','1',Nice,12.3,49,169.979,83,431
'2011-01-04 17:00:00','1','1',Nice,11.48,48,150.013,212,58
'2011-01-04 18:00:00','1','1',Nice,10.66,48,12.998,182,352
'2011-01-04 19:00:00','1','1',Nice,9.84,48,70.015,112,151
'2011-01-04 20:00:00','1','1',Nice,9.84,48,70.015,54,252
'2011-01-04 21:00:00','1','1',Nice,9.02,64,0.0,48,58
'2011-01-04 22:00:00','1','1',Nice,9.02,64,60.032,35,58
'2011-01-04 23:00:00','1','1',Nice,8.2,69,60.032,11,252
'2011-01-05 00:00:00','1','1',Nice,8.2,64,0.0,6,402
'2011-01-05 01:00:00','1','1',Nice,6.56,74,60.032,6,387
'2011-01-05 02:00:00','1','1',Nice,6.56,74,60.032,2,352
'2011-01-05 04:00:00','1','1',Nice,9.84,48,150.013,2,442
'2011-01-05 05:00:00','1','1',Nice,9.02,47,110.014,3,252
'2011-01-05 06:00:00','1','1',Nice,8.2,47,150.013,33,58
'2011-01-05 07:00:00','1','1',Nice,7.38,43,12.998,88,252
'2011-01-05 08:00:00','1','1',Nice,8.2,40,199.995,195,402
'2011-01-05 09:00:00','1','1',Nice,9.02,37,220.028,115,356
'2011-01-05 10:00:00','1','1',Nice,9.02,37,220.028,57,228
'2011-01-05 11:00:00','1','1',Nice,10.66,33,220.028,46,252
'2011-01-05 12:00:00','1','1',Nice,10.66,33,220.028,79,431
'2011-01-05 13:00:00','1','1',Nice,11.48,30,199.995,71,356
'2011-01-05 14:00:00','1','1',Nice,12.3,28,12.998,62,442
'2011-01-05 15:00:00','1','1',Nice,12.3,28,12.998,62,252
'2011-01-05 16:00:00','1','1',Nice,12.3,28,60.032,89,228
'2011-01-05 17:00:00','1','1',Nice,9.84,38,12.998,190,352
'2011-01-05 18:00:00','1','1',Nice,9.84,38,89.981,169,228
'2011-01-05 19:00:00','1','1',Nice,9.84,38,70.015,132,352
'2011-01-05 20:00:00','1','1',Nice,9.02,47,110.014,89,442
'2011-01-05 21:00:00','1','1',Nice,8.2,51,12.998,43,436
'2011-01-05 22:00:00','1','1',Nice,7.38,55,89.981,42,228
'2011-01-05 23:00:00','1','1',Nice,8.2,47,0.0,19,387
'2011-01-06 00:00:00','1','1',Nice,7.38,55,0.0,11,387
'2011-01-06 01:00:00','1','1',Nice,6.56,64,0.0,4,387
'2011-01-06 02:00:00','1','1',Nice,6.56,64,0.0,2,356
'2011-01-06 04:00:00','1','1',Cloudy,6.56,64,60.032,1,352
'2011-01-06 05:00:00','1','1',Cloudy,5.74,69,60.032,4,356
'2011-01-06 06:00:00','1','1',Cloudy,5.74,63,70.015,36,402
'2011-01-06 07:00:00','1','1',Cloudy,6.56,59,0.0,95,387
'2011-01-06 08:00:00','1','1',Nice,6.56,59,0.0,219,252
'2011-01-06 09:00:00','1','1',Cloudy,7.38,51,0.0,122,151
'2011-01-06 10:00:00','1','1',Nice,8.2,47,0.0,45,54
'2011-01-06 11:00:00','1','1',Nice,9.02,44,60.032,59,58
'2011-01-06 12:00:00','1','1',Nice,10.66,35,0.0,84,431
'2011-01-06 13:00:00','1','1',Nice,10.66,35,70.015,67,252
'2011-01-06 14:00:00','1','1',Nice,11.48,36,110.014,70,352
'2011-01-06 15:00:00','1','1',Nice,11.48,36,0.0,62,387
'2011-01-06 16:00:00','1','1',Nice,10.66,38,110.014,86,387
'2011-01-06 17:00:00','1','1',Nice,9.02,51,110.014,172,356
'2011-01-06 18:00:00','1','1',Nice,9.02,51,89.981,163,352
'2011-01-06 19:00:00','1','1',Nice,9.02,55,60.032,112,387
'2011-01-06 20:00:00','1','1',Nice,8.2,51,110.014,69,151
'2011-01-06 21:00:00','1','1',Cloudy,9.02,55,150.013,48,151
'2011-01-06 22:00:00','1','1',Cloudy,9.02,51,190.012,52,352
'2011-01-06 23:00:00','1','1',Cloudy,8.2,59,12.998,23,352
'2011-01-07 00:00:00','1','1',Cloudy,8.2,64,12.998,17,252
'2011-01-07 01:00:00','1','1',Cloudy,8.2,69,150.013,7,425
'2011-01-07 02:00:00','1','1',Cloudy,8.2,69,150.013,1,425
'2011-01-07 04:00:00','1','1',Cloudy,8.2,69,89.981,1,387
'2011-01-07 05:00:00','1','1',Light rain,9.02,55,0.0,5,442
'2011-01-07 06:00:00','1','1',Cloudy,8.2,69,0.0,34,431
'2011-01-07 07:00:00','1','1',Nice,8.2,69,89.981,84,356
'2011-01-07 08:00:00','1','1',Nice,8.2,51,169.979,210,402
'2011-01-07 09:00:00','1','1',Nice,8.2,47,199.995,134,151
'2011-01-07 10:00:00','1','1',Nice,9.02,37,220.028,63,387
'2011-01-07 11:00:00','1','1',Cloudy,8.2,40,150.013,67,442
'2011-01-07 12:00:00','1','1',Cloudy,8.2,37,169.979,59,387
'2011-01-07 13:00:00','1','1',Cloudy,8.2,37,190.012,73,387
'2011-01-07 14:00:00','1','1',Cloudy,8.2,40,169.979,50,387
'2011-01-07 15:00:00','1','1',Cloudy,8.2,37,110.014,72,402
'2011-01-07 16:00:00','1','1',Cloudy,8.2,37,110.014,87,252
'2011-01-07 17:00:00','1','1',Cloudy,8.2,37,0.0,187,431
'2011-01-07 18:00:00','1','1',Nice,8.2,40,60.032,123,228
'2011-01-07 19:00:00','1','1',Nice,6.56,55,60.032,95,352
'2011-01-07 20:00:00','1','1',Nice,7.38,47,70.015,51,442
'2011-01-07 21:00:00','1','1',Nice,7.38,47,89.981,39,352
'2011-01-07 22:00:00','1','1',Cloudy,7.38,43,110.014,36,54
'2011-01-07 23:00:00','1','1',Cloudy,7.38,51,110.014,15,54
'2011-01-08 00:00:00','1','0',Cloudy,7.38,51,110.014,25,54
'2011-01-08 01:00:00','1','0',Cloudy,7.38,55,60.032,16,425
'2011-01-08 02:00:00','1','0',Cloudy,7.38,55,0.0,16,352
'2011-01-08 03:00:00','1','0',Light rain,7.38,55,110.014,7,54
'2011-01-08 04:00:00','1','0',Light rain,7.38,55,110.014,1,58
'2011-01-08 05:00:00','1','0',Cloudy,6.56,74,110.014,5,353
'2011-01-08 06:00:00','1','0',Cloudy,6.56,74,110.014,2,387
'2011-01-08 07:00:00','1','0',Cloudy,6.56,74,70.015,9,352
'2011-01-08 08:00:00','1','0',Light rain,6.56,93,70.015,15,425
'2011-01-08 09:00:00','1','0',Light rain,6.56,93,70.015,20,252
'2011-01-08 10:00:00','1','0',Cloudy,7.38,80,110.014,61,352
'2011-01-08 11:00:00','1','0',Cloudy,8.2,69,260.027,62,228
'2011-01-08 12:00:00','1','0',Cloudy,8.2,59,239.994,98,252
'2011-01-08 13:00:00','1','0',Nice,8.2,44,220.028,102,402
'2011-01-08 14:00:00','1','0',Nice,8.2,32,329.975,95,352
'2011-01-08 15:00:00','1','0',Nice,8.2,32,300.026,74,387
'2011-01-08 16:00:00','1','0',Nice,7.38,29,300.026,76,356
'2011-01-08 17:00:00','1','0',Nice,6.56,37,369.974,69,252
'2011-01-08 18:00:00','1','0',Nice,5.74,39,199.995,55,60
'2011-01-08 19:00:00','1','0',Nice,5.74,36,169.979,30,58
'2011-01-08 20:00:00','1','0',Nice,4.92,36,169.979,28,58
'2011-01-08 21:00:00','1','0',Nice,4.92,39,239.994,37,431
'2011-01-08 22:00:00','1','0',Nice,4.92,36,260.027,34,228
'2011-01-08 23:00:00','1','0',Nice,4.1,39,300.026,22,58
'2011-01-09 00:00:00','1','0',Nice,4.1,42,260.027,25,58
'2011-01-09 01:00:00','1','0',Nice,4.1,42,310.009,12,425
'2011-01-09 02:00:00','1','0',Nice,4.1,46,310.009,11,402
'2011-01-09 03:00:00','1','0',Nice,4.1,46,279.993,4,252
'2011-01-09 04:00:00','1','0',Nice,3.28,53,12.998,1,151
'2011-01-09 05:00:00','1','0',Nice,3.28,53,12.998,1,352
'2011-01-09 06:00:00','1','0',Nice,4.1,49,190.012,1,387
'2011-01-09 07:00:00','1','0',Nice,3.28,53,12.998,6,442
'2011-01-09 08:00:00','1','0',Nice,4.1,49,190.012,10,387
'2011-01-09 09:00:00','1','0',Nice,4.92,46,350.008,19,151
'2011-01-09 10:00:00','1','0',Nice,5.74,43,260.027,49,387
'2011-01-09 11:00:00','1','0',Nice,6.56,40,350.008,49,353
'2011-01-09 12:00:00','1','0',Nice,7.38,37,300.026,83,356
'2011-01-09 13:00:00','1','0',Nice,8.2,34,300.026,75,151
'2011-01-09 14:00:00','1','0',Nice,9.02,32,310.009,72,58
'2011-01-09 15:00:00','1','0',Nice,9.02,35,239.994,82,387
'2011-01-09 16:00:00','1','0',Nice,8.2,34,300.026,92,442
'2011-01-09 17:00:00','1','0',Nice,7.38,37,260.027,62,151
'2011-01-09 18:00:00','1','0',Nice,6.56,40,220.028,48,352
'2011-01-09 19:00:00','1','0',Nice,6.56,43,220.028,41,58
'2011-01-09 20:00:00','1','0',Nice,5.74,46,169.979,38,252
'2011-01-09 21:00:00','1','0',Nice,5.74,46,279.993,20,352
'2011-01-09 22:00:00','1','0',Nice,5.74,46,199.995,15,252
'2011-01-09 23:00:00','1','0',Nice,4.92,50,12.998,6,387
'2011-01-10 00:00:00','1','1',Nice,4.92,50,190.012,5,352
'2011-01-10 01:00:00','1','1',Nice,4.92,50,190.012,1,387
'2011-01-10 02:00:00','1','1',Nice,4.92,50,150.013,3,252
'2011-01-10 03:00:00','1','1',Nice,4.92,50,150.013,1,352
'2011-01-10 04:00:00','1','1',Nice,4.1,54,89.981,3,352
'2011-01-10 05:00:00','1','1',Nice,4.1,54,169.979,3,387
'2011-01-10 06:00:00','1','1',Nice,4.92,50,190.012,31,442
'2011-01-10 07:00:00','1','1',Nice,4.92,50,150.013,77,353
'2011-01-10 08:00:00','1','1',Cloudy,4.92,50,190.012,188,353
'2011-01-10 09:00:00','1','1',Cloudy,5.74,50,169.979,94,352
'2011-01-10 10:00:00','1','1',Cloudy,5.74,50,199.995,31,436
'2011-01-10 11:00:00','1','1',Cloudy,6.56,47,190.012,30,387
'2011-01-10 12:00:00','1','1',Cloudy,8.2,40,190.012,52,54
'2011-01-10 13:00:00','1','1',Cloudy,8.2,40,190.012,54,352
'2011-01-10 14:00:00','1','1',Cloudy,8.2,40,150.013,47,402
'2011-01-10 15:00:00','1','1',Cloudy,8.2,40,150.013,45,387
'2011-01-10 16:00:00','1','1',Nice,8.2,40,89.981,74,3
'2011-01-10 17:00:00','1','1',Nice,8.2,40,70.015,178,252
'2011-01-10 18:00:00','1','1',Nice,8.2,40,150.013,155,352
'2011-01-10 19:00:00','1','1',Nice,6.56,47,110.014,95,352
'2011-01-10 20:00:00','1','1',Nice,6.56,50,110.014,74,252
'2011-01-10 21:00:00','1','1',Nice,5.74,59,12.998,38,431
'2011-01-10 22:00:00','1','1',Nice,5.74,59,110.014,24,431
'2011-01-10 23:00:00','1','1',Nice,5.74,59,110.014,18,431
'2011-01-11 00:00:00','1','1',Nice,5.74,59,70.015,12,352
'2011-01-11 01:00:00','1','1',Nice,5.74,59,110.014,3,436
'2011-01-11 02:00:00','1','1',Cloudy,6.56,55,12.998,3,431
'2011-01-11 05:00:00','1','1',Cloudy,6.56,55,89.981,6,228
'2011-01-11 06:00:00','1','1',Cloudy,6.56,55,89.981,27,130
'2011-01-11 07:00:00','1','1',Cloudy,6.56,55,0.0,99,58
'2011-01-11 08:00:00','1','1',Cloudy,7.38,51,60.032,217,436
'2011-01-11 09:00:00','1','1',Cloudy,7.38,51,110.014,130,402
'2011-01-11 10:00:00','1','1',Cloudy,8.2,51,110.014,54,58
'2011-01-11 11:00:00','1','1',Cloudy,8.2,47,89.981,35,436
'2011-01-11 12:00:00','1','1',Cloudy,8.2,51,70.015,57,352
'2011-01-11 13:00:00','1','1',Cloudy,8.2,59,60.032,52,151
'2011-01-11 14:00:00','1','1',Cloudy,8.2,59,60.032,63,228
'2011-01-11 15:00:00','1','1',Cloudy,6.56,80,60.032,47,352
'2011-01-11 16:00:00','1','1',Cloudy,6.56,86,150.013,76,58
'2011-01-11 17:00:00','1','1',Cloudy,6.56,86,150.013,136,352
'2011-01-11 18:00:00','1','1',Light rain,6.56,93,70.015,95,252
'2011-01-11 19:00:00','1','1',Light rain,6.56,93,0.0,51,54
'2011-01-11 20:00:00','1','1',Light rain,6.56,93,12.998,32,353
'2011-01-11 21:00:00','1','1',Light rain,6.56,86,60.032,20,436
'2011-01-11 22:00:00','1','1',Light rain,6.56,93,70.015,29,387
'2011-01-11 23:00:00','1','1',Light rain,6.56,93,60.032,19,402
'2011-01-12 00:00:00','1','1',Cloudy,6.56,86,60.032,7,387
'2011-01-12 01:00:00','1','1',Cloudy,6.56,86,70.015,6,431
'2011-01-12 02:00:00','1','1',Nice,5.74,86,89.981,1,425
'2011-01-12 05:00:00','1','1',Nice,5.74,86,110.014,5,252
'2011-01-12 06:00:00','1','1',Nice,4.92,93,89.981,16,356
'2011-01-12 07:00:00','1','1',Nice,5.74,69,89.981,54,387
'2011-01-12 08:00:00','1','1',Nice,6.56,59,110.014,128,58
'2011-01-12 09:00:00','1','1',Nice,6.56,59,220.028,81,387
'2011-01-12 10:00:00','1','1',Nice,7.38,55,150.013,39,387
'2011-01-12 11:00:00','1','1',Nice,8.2,51,260.027,35,356
'2011-01-12 12:00:00','1','1',Nice,8.2,47,390.007,55,387
'2011-01-12 13:00:00','1','1',Nice,9.02,44,239.994,49,442
'2011-01-12 14:00:00','1','1',Nice,8.2,47,220.028,44,228
'2011-01-12 15:00:00','1','1',Nice,8.2,47,279.993,49,58
'2011-01-12 16:00:00','1','1',Nice,9.02,44,220.028,68,252
'2011-01-12 17:00:00','1','1',Nice,8.2,47,239.994,139,431
'2011-01-12 18:00:00','1','1',Nice,8.2,47,350.008,137,353
'2011-01-12 19:00:00','1','1',Nice,7.38,47,279.993,83,58
'2011-01-12 20:00:00','1','1',Nice,6.56,50,220.028,56,356
'2011-01-12 21:00:00','1','1',Nice,6.56,55,220.028,57,352
'2011-01-12 22:00:00','1','1',Nice,6.56,55,300.026,33,352
'2011-01-12 23:00:00','1','1',Nice,5.74,59,279.993,20,228
'2011-01-13 00:00:00','1','1',Nice,5.74,59,190.012,7,431
'2011-01-13 01:00:00','1','1',Nice,5.74,50,190.012,2,54
'2011-01-13 02:00:00','1','1',Nice,5.74,50,239.994,2,387
'2011-01-13 03:00:00','1','1',Nice,5.74,50,220.028,3,442
'2011-01-13 04:00:00','1','1',Nice,5.74,50,169.979,4,228
'2011-01-13 05:00:00','1','1',Nice,5.74,50,199.995,3,58
'2011-01-13 06:00:00','1','1',Nice,4.92,54,89.981,28,436
'2011-01-13 07:00:00','1','1',Nice,4.92,54,89.981,72,353
'2011-01-13 08:00:00','1','1',Nice,5.74,50,12.998,202,58
'2011-01-13 09:00:00','1','1',Nice,5.74,50,220.028,139,58
'2011-01-13 10:00:00','1','1',Cloudy,6.56,50,239.994,38,352
'2011-01-13 11:00:00','1','1',Cloudy,8.2,44,300.026,37,228
'2011-01-13 12:00:00','1','1',Nice,8.2,44,279.993,52,352
'2011-01-13 13:00:00','1','1',Nice,9.02,41,300.026,83,436
'2011-01-13 14:00:00','1','1',Nice,9.02,41,260.027,42,387
'2011-01-13 15:00:00','1','1',Nice,9.84,38,199.995,60,431
'2011-01-13 16:00:00','1','1',Nice,9.84,38,239.994,78,436
'2011-01-13 17:00:00','1','1',Nice,8.2,40,190.012,162,352
'2011-01-13 18:00:00','1','1',Nice,8.2,40,220.028,144,353
'2011-01-13 19:00:00','1','1',Nice,6.56,47,169.979,99,425
'2011-01-13 20:00:00','1','1',Nice,6.56,47,150.013,64,353
'2011-01-13 21:00:00','1','1',Nice,5.74,46,199.995,40,58
'2011-01-13 22:00:00','1','1',Nice,5.74,46,220.028,30,352
'2011-01-13 23:00:00','1','1',Nice,4.92,50,12.998,15,352
'2011-01-14 00:00:00','1','1',Nice,4.92,50,12.998,14,352
'2011-01-14 01:00:00','1','1',Nice,4.1,54,110.014,5,54
'2011-01-14 02:00:00','1','1',Nice,4.1,54,89.981,1,442
'2011-01-14 03:00:00','1','1',Nice,4.1,54,70.015,1,442
'2011-01-14 05:00:00','1','1',Nice,4.1,54,60.032,8,228
'2011-01-14 06:00:00','1','1',Nice,4.1,54,0.0,17,436
'2011-01-14 07:00:00','1','1',Nice,4.1,74,110.014,70,387
'2011-01-14 08:00:00','1','1',Nice,4.92,68,0.0,158,252
'2011-01-14 09:00:00','1','1',Nice,5.74,69,89.981,117,252
'2011-01-14 10:00:00','1','1',Nice,7.38,55,12.998,44,352
'2011-01-14 11:00:00','1','1',Nice,7.38,51,190.012,53,431
'2011-01-14 12:00:00','1','1',Nice,8.2,44,169.979,61,352
'2011-01-14 13:00:00','1','1',Nice,9.02,37,260.027,77,352
'2011-01-14 14:00:00','1','1',Nice,9.02,41,190.012,64,58
'2011-01-14 15:00:00','1','1',Nice,9.84,38,110.014,68,252
'2011-01-14 16:00:00','1','1',Nice,9.02,41,70.015,90,58
'2011-01-14 17:00:00','1','1',Nice,9.02,41,110.014,159,130
'2011-01-14 18:00:00','1','1',Nice,8.2,47,0.0,139,402
'2011-01-14 19:00:00','1','1',Nice,6.56,59,60.032,92,431
'2011-01-14 20:00:00','1','1',Nice,7.38,59,0.0,68,353
'2011-01-14 21:00:00','1','1',Nice,6.56,69,0.0,52,436
'2011-01-14 22:00:00','1','1',Cloudy,6.56,69,0.0,36,387
'2011-01-14 23:00:00','1','1',Cloudy,7.38,55,0.0,27,151
'2011-01-15 00:00:00','1','0',Nice,7.38,55,0.0,28,387
'2011-01-15 01:00:00','1','0',Cloudy,6.56,59,60.032,20,54
'2011-01-15 02:00:00','1','0',Cloudy,6.56,59,60.032,12,387
'2011-01-15 03:00:00','1','0',Cloudy,6.56,59,0.0,8,352
'2011-01-15 04:00:00','1','0',Cloudy,6.56,59,0.0,5,431
'2011-01-15 05:00:00','1','0',Nice,6.56,59,0.0,1,151
'2011-01-15 06:00:00','1','0',Nice,5.74,63,70.015,3,352
'2011-01-15 07:00:00','1','0',Nice,5.74,63,0.0,10,151
'2011-01-15 08:00:00','1','0',Nice,5.74,63,89.981,23,352
'2011-01-15 09:00:00','1','0',Nice,6.56,64,89.981,33,352
'2011-01-15 10:00:00','1','0',Nice,7.38,59,110.014,59,352
'2011-01-15 11:00:00','1','0',Nice,8.2,55,150.013,72,58
'2011-01-15 12:00:00','1','0',Nice,9.84,48,150.013,89,58
'2011-01-15 13:00:00','1','0',Nice,11.48,38,199.995,101,431
'2011-01-15 14:00:00','1','0',Nice,12.3,39,190.012,118,356
'2011-01-15 15:00:00','1','0',Cloudy,13.12,36,12.998,129,387
'2011-01-15 16:00:00','1','0',Cloudy,13.94,34,12.998,128,352
'2011-01-15 17:00:00','1','0',Cloudy,13.12,36,190.012,83,58
'2011-01-15 18:00:00','1','0',Cloudy,12.3,45,169.979,84,151
'2011-01-15 19:00:00','1','0',Cloudy,13.12,39,169.979,74,431
'2011-01-15 20:00:00','1','0',Cloudy,13.12,39,169.979,41,352
'2011-01-15 21:00:00','1','0',Cloudy,13.12,39,150.013,57,436
'2011-01-15 22:00:00','1','0',Cloudy,12.3,42,70.015,26,387
'2011-01-15 23:00:00','1','0',Nice,12.3,45,190.012,44,442
'2011-01-16 00:00:00','1','0',Nice,10.66,56,0.0,39,387
'2011-01-16 01:00:00','1','0',Nice,10.66,56,89.981,23,58
'2011-01-16 02:00:00','1','0',Nice,10.66,56,60.032,16,431
'2011-01-16 03:00:00','1','0',Nice,9.02,69,0.0,15,387
'2011-01-16 04:00:00','1','0',Nice,10.66,56,110.014,1,387
'2011-01-16 05:00:00','1','0',Cloudy,10.66,56,110.014,2,58
'2011-01-16 06:00:00','1','0',Cloudy,10.66,56,110.014,1,387
'2011-01-16 07:00:00','1','0',Cloudy,9.84,56,199.995,3,387
'2011-01-16 08:00:00','1','0',Nice,9.02,55,190.012,18,151
'2011-01-16 09:00:00','1','0',Nice,9.02,51,169.979,32,352
'2011-01-16 10:00:00','1','0',Nice,9.02,51,190.012,79,252
'2011-01-16 11:00:00','1','0',Nice,9.84,44,169.979,93,425
'2011-01-16 12:00:00','1','0',Nice,9.84,41,190.012,104,252
'2011-01-16 13:00:00','1','0',Nice,10.66,35,199.995,118,58
'2011-01-16 14:00:00','1','0',Nice,11.48,36,169.979,91,425
'2011-01-16 15:00:00','1','0',Nice,10.66,38,169.979,113,228
'2011-01-16 16:00:00','1','0',Nice,9.84,38,150.013,99,54
'2011-01-16 17:00:00','1','0',Nice,9.02,37,169.979,105,352
'2011-01-16 18:00:00','1','0',Nice,8.2,40,110.014,67,387
'2011-01-16 19:00:00','1','0',Nice,7.38,47,89.981,61,58
'2011-01-16 20:00:00','1','0',Nice,7.38,47,110.014,57,54
'2011-01-16 21:00:00','1','0',Nice,7.38,51,110.014,28,387
'2011-01-16 22:00:00','1','0',Cloudy,8.2,49,89.981,21,58
'2011-01-16 23:00:00','1','0',Cloudy,8.2,40,70.015,18,387
'2011-01-17 00:00:00','1','0',Cloudy,8.2,47,150.013,17,387
'2011-01-17 01:00:00','1','0',Cloudy,8.2,44,12.998,16,352
'2011-01-17 02:00:00','1','0',Cloudy,7.38,43,169.979,8,387
'2011-01-17 03:00:00','1','0',Cloudy,7.38,43,12.998,2,252
'2011-01-17 04:00:00','1','0',Cloudy,7.38,43,89.981,3,356
'2011-01-17 05:00:00','1','0',Cloudy,7.38,43,110.014,1,442
'2011-01-17 06:00:00','1','0',Cloudy,7.38,43,12.998,5,54
'2011-01-17 07:00:00','1','0',Cloudy,6.56,50,89.981,13,442
